date_created,date_updated,deleted_by_user,user_id,prolific_pid,study_id,wordle_play_frequency,native_english,primed_emotion,has_enhanced_feedback,presurvey_time,baseballcost,lakedays,postsurvey_time,widgettime,did_start_bonus_rounds,end_arousal,end_valence,session_id_x,minutes,crt1,crt2,crt3,crt,control,anger,empathy,anger_empathy,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,First Language,Nationality,Sex,t_anger,t_empathy
2022-04-06 13:37:53.906754,2022-04-06 13:50:19.089048,0,5a8418e-744c-fe08-77a-a75f2f8edcdd,-5138889630329335189,624b5bec1dd9f0f7e32455cb,11-100,1,control,1,2022-04-06 13:37:53.905061,0.05,47.0,2022-04-06 13:50:19.088876,100.0,0,21.0,61.0,624d9655c9ef2a8d5e0a9b97,12.416666666666666,1,0,1,2,0,0,1,0,APPROVED,2022-04-06 13:32:09.154000,2022-04-06 13:50:26.504000,1097.35,41.0,381,0,100,2022-04-06 15:01:57.126000,42B25E2B,United States,United States,English,United States,Female,0,1
2022-04-06 13:44:57.494483,2022-04-06 14:05:57.977607,0,f7f5742-460-17d8-2244-6e811eaa3d17,-6102100099043620338,624b5bec1dd9f0f7e32455cb,0,1,control,0,2022-04-06 13:44:57.493240,0.05,47.0,2022-04-06 14:05:57.977475,5.0,0,30.0,26.0,624d9886f92501bf32d6a5c2,21.0,1,1,1,3,1,0,0,0,APPROVED,2022-04-06 13:41:30.056000,2022-04-06 14:06:06.465000,1476.409,22.0,520,0,100,2022-04-06 15:01:56.347000,42B25E2B,United States,United States,English,United States,Female,0,0
2022-04-06 13:45:49.871791,2022-04-06 13:57:49.432129,0,472d322-d63f-5a08-25e8-f7d2cac1d827,-4677404749458226688,624b5bec1dd9f0f7e32455cb,101+,1,control,1,2022-04-06 13:45:49.870422,0.1,24.0,2022-04-06 13:57:49.432001,100.0,0,79.0,80.0,624d98b335a8f16619dd679f,11.983333333333333,0,0,0,0,0,0,1,0,APPROVED,2022-04-06 13:42:14.409000,2022-04-06 13:57:54.848000,940.439,27.0,283,1,100,2022-04-06 15:01:54.872000,42B25E2B,United States,United States,English,United States,Female,0,1
2022-04-06 13:56:52.351271,2022-04-06 14:05:51.321082,0,b3b3140-8aa2-a703-3bcd-edbb11f0de34,6433239340094790436,624b5bec1dd9f0f7e32455cb,2-10,1,control,0,2022-04-06 13:56:52.349580,0.05,47.0,2022-04-06 14:05:51.320936,5.0,0,67.0,82.0,624d9902defb9cf7c1a771ed,8.966666666666667,1,1,1,3,1,0,0,0,APPROVED,2022-04-06 13:43:37.758000,2022-04-06 14:06:00.692000,1342.934,58.0,434,1,100,2022-04-06 15:01:54.570000,42B25E2B,United States,United States,English,United States,Female,0,0
2022-04-06 14:02:03.305780,2022-04-06 14:18:09.592011,0,18343a-eeee-cdc0-840-32380be34428,2642533513919772784,624b5bec1dd9f0f7e32455cb,0,1,anger,1,2022-04-06 14:02:03.304463,0.1,24.0,2022-04-06 14:18:09.591834,500.0,0,47.0,35.0,624d988efea88ec4ed3fe768,16.1,0,0,0,0,0,0,0,1,APPROVED,2022-04-06 13:41:46.579000,2022-04-06 14:18:16.166000,2189.587,33.0,250,1,100,2022-04-06 15:01:56.140000,42B25E2B,United States,United States,English,United States,Female,1,1
2022-04-06 15:35:30.757005,2022-04-06 15:48:26.630387,0,275cc0a-8fb0-5bb-d344-ece43b0500e,1913430987054541597,624d956a30b83f43cc403583,11-100,1,control,1,2022-04-06 15:35:30.755465,0.1,24.0,2022-04-06 15:48:26.630226,100.0,0,88.0,29.0,624db2728f928fd4309e71ec,12.916666666666666,0,0,0,0,0,0,1,0,APPROVED,2022-04-06 15:32:06.348000,2022-04-06 15:48:31.169000,984.821,28.0,340,0,100,2022-04-06 19:16:22.344000,42B25E2B,Japan,United States,English,United States,Female,0,1
2022-04-06 15:41:09.705772,2022-04-06 15:57:48.672970,0,bab00bd-3d80-03ff-fc33-ccd14fa3f015,-2241330693509856131,624d956a30b83f43cc403583,2-10,1,control,0,2022-04-06 15:41:09.703370,2.1,32.0,2022-04-06 15:57:48.672830,20.0,0,70.0,43.0,624db3c8f8e43b0ac96b6852,16.633333333333333,0,0,0,0,1,0,0,0,APPROVED,2022-04-06 15:37:48.029000,2022-04-06 15:57:58.422000,1210.393,19.0,234,3,99,2022-04-06 19:16:22.413000,42B25E2B,United States,United States,English,United States,Female,0,0
2022-04-06 15:45:21.280547,2022-04-06 15:58:58.051702,0,8f373d4-cf7-becd-75e3-b21028e0aee8,2314395202601970027,624d956a30b83f43cc403583,11-100,1,control,1,2022-04-06 15:45:21.279135,0.05,47.0,2022-04-06 15:58:31.104967,5.0,1,36.0,34.0,624db4b07d4b4fc292c1bed5,13.15,1,1,1,3,0,0,1,0,APPROVED,2022-04-06 15:41:40.862000,2022-04-06 15:58:47.940000,1027.078,24.0,355,0,100,2022-04-06 19:16:22.473000,42B25E2B,United States,United States,English,United States,Male,0,1
2022-04-06 15:47:04.824580,2022-04-06 15:53:41.141732,0,46781-6636-21db-bcbe-83dd6468bc8b,-1482053284973231889,624d956a30b83f43cc403583,11-100,1,control,1,2022-04-06 15:47:04.823415,0.1,24.0,2022-04-06 15:52:37.842834,100.0,1,35.0,77.0,624db518b0d62ef5d941047a,5.55,0,0,0,0,0,0,1,0,APPROVED,2022-04-06 15:43:24.786000,2022-04-06 15:52:43.738000,558.952,31.0,495,1,100,2022-04-06 19:16:22.536000,42B25E2B,United States,United States,English,United States,Female,0,1
2022-04-06 15:53:31.266407,2022-04-06 16:02:40.087230,0,c3161d3-536f-a1cd-cb1d-4b785f68462,-9088467173620008768,624d956a30b83f43cc403583,11-100,1,control,0,2022-04-06 15:53:31.265207,0.05,47.0,2022-04-06 16:02:24.967920,5.0,1,68.0,77.0,624db69f899ac79d3fcf282e,8.883333333333333,1,1,1,3,1,0,0,0,APPROVED,2022-04-06 15:49:53.380000,2022-04-06 16:02:33.813000,760.433,21.0,347,0,100,2022-04-06 19:16:22.794000,42B25E2B,United States,United States,English,United States,Female,0,0
2022-04-06 15:54:33.249128,2022-04-06 16:12:15.858919,0,0546e-c12c-d5e-a3d6-3d78b5c4b23c,6821904084993087774,624d956a30b83f43cc403583,2-10,1,control,0,2022-04-06 15:54:33.248002,0.1,24.0,2022-04-06 16:12:15.858746,100.0,0,41.0,63.0,624db66c758241cf1b0c92f4,17.7,0,0,0,0,1,0,0,0,APPROVED,2022-04-06 15:49:03.966000,2022-04-06 16:12:28.544000,1404.578,32.0,845,5,99,2022-04-06 19:16:22.680000,42B25E2B,United States,United States,English,United States,Female,0,0
2022-04-06 15:56:56.158386,2022-04-06 16:08:13.122063,0,1312ab-7d70-546e-68cf-088f2a03670e,-5173458209546470628,624d956a30b83f43cc403583,11-100,1,anger,0,2022-04-06 15:56:56.157273,0.1,47.0,2022-04-06 16:08:13.121922,5.0,0,67.0,63.0,624db61bd2b6025a22e011a1,11.266666666666667,0,1,1,2,0,1,0,0,APPROVED,2022-04-06 15:47:44.109000,2022-04-06 16:08:26.506000,1242.397,66.0,1064,1,100,2022-04-06 19:16:22.597000,42B25E2B,United States,United States,English,United States,Male,1,0
2022-04-06 16:00:30.770739,2022-04-06 16:14:16.464581,0,b1c503b-0e31-61ff-622a-f74b7a6ab507,5628927980033876848,624d956a30b83f43cc403583,11-100,1,anger,1,2022-04-06 16:00:30.769404,5.0,24.0,2022-04-06 16:14:16.464422,5.0,0,58.0,39.0,624db833653144951cdaa67e,13.75,0,1,0,1,0,0,0,1,APPROVED,2022-04-06 15:56:38.417000,2022-04-06 16:14:29.783000,1071.366,62.0,1323,1,100,2022-04-06 19:16:22.857000,42B25E2B,United States,United States,English,United States,Female,1,1
2022-04-06 16:01:05.914771,2022-04-06 16:06:55.033970,0,62f63c-723d-4362-18d0-5bfeca16d65,3783800467916395179,624d956a30b83f43cc403583,11-100,1,anger,0,2022-04-06 16:01:05.913713,0.1,24.0,2022-04-06 16:06:55.033835,100.0,0,78.0,90.0,624db8d5775d743abd61f6fa,5.816666666666666,0,0,0,0,0,1,0,0,APPROVED,2022-04-06 15:59:19.655000,2022-04-06 16:07:01.315000,461.66,37.0,591,4,99,2022-04-06 19:16:22.990000,42B25E2B,United States,United States,English,United States,Female,1,0
2022-04-06 16:02:55.640083,2022-04-06 16:11:48.654392,0,44b6b70-5e5d-3c4b-0a3f-7cce8621b4,7191634988897322388,624d956a30b83f43cc403583,11-100,1,anger,1,2022-04-06 16:02:55.638885,0.05,47.0,2022-04-06 16:11:48.654266,5.0,0,36.0,65.0,624db8e2ad7aee2a25c89429,8.883333333333333,1,1,1,3,0,0,0,1,APPROVED,2022-04-06 15:59:33.850000,2022-04-06 16:12:00.026000,746.176,25.0,509,2,100,2022-04-06 19:16:23.113000,42B25E2B,United States,United States,English,United States,Male,1,1
