word,guess,solution_w,frequency,negative,neutral,positive,remaining_mean,remaining_median
stair,1.0,1.0,2.49955e-06,0.0,1.0,0.0,414.406047516,205.0
arise,1.0,1.0,2.270854e-05,0.0,1.0,0.0,324.13650108,226.0
raise,1.0,1.0,3.492898e-05,0.0,1.0,0.0,293.665226782,233.0
irate,1.0,1.0,7.011632e-07,1.0,0.0,0.0,396.133045356,235.0
aisle,1.0,1.0,5.122444e-06,0.0,1.0,0.0,378.177537797,245.0
saute,1.0,1.0,1.0591468000000001e-07,0.0,1.0,0.0,370.109287257,248.0
slate,1.0,1.0,3.560934e-06,0.0,1.0,0.0,336.541684665,250.0
crate,1.0,1.0,2.101974e-06,0.0,1.0,0.0,472.374514039,255.0
stare,1.0,1.0,1.6138900000000002e-05,0.0,1.0,0.0,325.041468683,258.0
slice,1.0,1.0,8.749728e-06,0.0,1.0,0.0,477.572786177,259.0
since,1.0,1.0,0.0003521618,0.0,1.0,0.0,518.489848812,264.0
sonar,1.0,1.0,8.630942000000001e-07,0.0,1.0,0.0,405.435421166,267.0
store,1.0,1.0,5.045848e-05,0.0,1.0,0.0,376.775809935,267.0
saner,1.0,1.0,1.8744880000000002e-07,0.0,1.0,0.0,305.525701944,269.0
stale,1.0,1.0,2.71308e-06,0.0,1.0,0.0,352.908855292,269.0
arose,1.0,1.0,1.386872e-05,0.0,1.0,0.0,322.625485961,269.0
canoe,1.0,1.0,4.438074e-06,0.0,1.0,0.0,513.971922246,270.0
caste,1.0,1.0,6.245446e-06,0.0,1.0,0.0,420.402159827,270.0
curse,1.0,1.0,1.251822e-05,1.0,0.0,0.0,554.798272138,271.0
shale,1.0,1.0,2.7609860000000004e-06,0.0,1.0,0.0,431.534773218,276.0
suite,1.0,1.0,1.0663368e-05,0.0,1.0,0.0,470.674298056,278.0
yeast,1.0,1.0,5.806948e-06,0.0,1.0,0.0,454.038012959,282.0
least,1.0,1.0,0.0002270318,0.0,1.0,0.0,383.953347732,283.0
roast,1.0,1.0,5.0190420000000005e-06,0.0,1.0,0.0,408.593952484,284.0
haste,1.0,1.0,6.2311e-06,0.0,1.0,0.0,471.452699784,284.0
trice,1.0,1.0,2.999868e-07,0.0,1.0,0.0,573.114902808,285.0
